L [m],Gamma soil kN/m3],phi soil [degree],Surcharge [kN/m],Concrete cost,Pile Diameter (X1) [m]
11,20,29,0,50,1.606
3,14,30,0,50,0.258
4,14,30,0,50,0.271
5,14,30,0,50,0.346
6,14,30,0,50,0.476
7,14,30,0,50,0.615
8,14,30,0,50,0.762
9,14,30,0,50,0.921
10,14,30,0,50,1.1
11,14,30,0,50,1.275
12,14,30,0,50,1.468
3,15,30,0,50,0.258
4,15,30,0,50,0.271
5,15,30,0,50,0.365
6,15,30,0,50,0.494
7,15,30,0,50,0.637
8,15,30,0,50,0.798
9,15,30,0,50,0.963
10,15,30,0,50,1.141
11,15,30,0,50,1.33
12,15,30,0,50,1.52
3,16,30,0,50,0.258
4,16,30,0,50,0.27
5,16,30,0,50,0.373
6,16,30,0,50,0.511
7,16,30,0,50,0.661
8,16,30,0,50,0.818
9,16,30,0,50,1.001
10,16,30,0,50,1.187
11,16,30,0,50,1.381
12,16,30,0,50,1.583
3,17,30,0,50,0.258
4,17,30,0,50,0.271
5,17,30,0,50,0.392
6,17,30,0,50,0.526
7,17,30,0,50,0.685
8,17,30,0,50,0.857
9,17,30,0,50,1.037
10,17,30,0,50,1.228
11,17,30,0,50,1.428
12,17,30,0,50,1.647
3,18,30,0,50,0.257
4,18,30,0,50,0.27
5,18,30,0,50,0.399
6,18,30,0,50,0.55
7,18,30,0,50,0.712
8,18,30,0,50,0.883
9,18,30,0,50,1.074
10,18,30,0,50,1.272
11,18,30,0,50,1.478
12,18,30,0,50,1.687
3,19,30,0,50,0.258
4,19,30,0,50,0.271
5,19,30,0,50,0.417
6,19,30,0,50,0.566
7,19,30,0,50,0.729
8,19,30,0,50,0.897
9,19,30,0,50,1.106
10,19,30,0,50,1.306
11,19,30,0,50,1.525
12,19,30,0,50,1.761
3,20,30,0,50,0.257
4,20,30,0,50,0.278
5,20,30,0,50,0.425
6,20,30,0,50,0.582
7,20,30,0,50,0.759
8,20,30,0,50,0.942
9,20,30,0,50,1.137
10,20,30,0,50,1.345
11,20,30,0,50,1.553
3,14,31,0,50,0.258
4,14,31,0,50,0.271
5,14,31,0,50,0.335
6,14,31,0,50,0.465
7,14,31,0,50,0.601
8,14,31,0,50,0.747
9,14,31,0,50,0.896
10,14,31,0,50,1.071
11,14,31,0,50,1.252
12,14,31,0,50,1.44
3,15,31,0,50,0.257
4,15,31,0,50,0.271
5,15,31,0,50,0.354
6,15,31,0,50,0.481
7,15,31,0,50,0.625
8,15,31,0,50,0.777
9,15,31,0,50,0.944
10,15,31,0,50,1.12
11,15,31,0,50,1.301
12,15,31,0,50,1.482
3,16,31,0,50,0.258
4,16,31,0,50,0.271
5,16,31,0,50,0.362
6,16,31,0,50,0.503
7,16,31,0,50,0.641
8,16,31,0,50,0.803
9,16,31,0,50,0.972
10,16,31,0,50,1.161
11,16,31,0,50,1.349
12,16,31,0,50,1.547
3,17,31,0,50,0.258
4,17,31,0,50,0.271
5,17,31,0,50,0.38
6,17,31,0,50,0.519
7,17,31,0,50,0.673
8,17,31,0,50,0.835
9,17,31,0,50,1.013
10,17,31,0,50,1.2
11,17,31,0,50,1.4
12,17,31,0,50,1.606
3,18,31,0,50,0.257
4,18,31,0,50,0.271
5,18,31,0,50,0.396
6,18,31,0,50,0.534
7,18,31,0,50,0.695
8,18,31,0,50,0.864
9,18,31,0,50,1.048
10,18,31,0,50,1.238
11,18,31,0,50,1.428
12,18,31,0,50,1.641
3,19,31,0,50,0.258
4,19,31,0,50,0.27
5,19,31,0,50,0.404
6,19,31,0,50,0.554
7,19,31,0,50,0.715
8,19,31,0,50,0.893
9,19,31,0,50,1.08
10,19,31,0,50,1.271
11,19,31,0,50,1.489
12,19,31,0,50,1.71
3,20,31,0,50,0.257
4,20,31,0,50,0.271
5,20,31,0,50,0.421
6,20,31,0,50,0.572
7,20,31,0,50,0.74
8,20,31,0,50,0.906
9,20,31,0,50,1.111
10,20,31,0,50,1.317
11,20,31,0,50,1.527
12,20,31,0,50,1.768
3,14,32,0,50,0.257
4,14,32,0,50,0.27
5,14,32,0,50,0.334
6,14,32,0,50,0.454
7,14,32,0,50,0.587
8,14,32,0,50,0.727
9,14,32,0,50,0.884
10,14,32,0,50,1.052
11,14,32,0,50,1.225
12,14,32,0,50,1.4
3,15,32,0,50,0.257
4,15,32,0,50,0.271
5,15,32,0,50,0.342
6,15,32,0,50,0.476
7,15,32,0,50,0.609
8,15,32,0,50,0.76
9,15,32,0,50,0.909
10,15,32,0,50,1.088
11,15,32,0,50,1.27
12,15,32,0,50,1.457
3,16,32,0,50,0.258
4,16,32,0,50,0.271
5,16,32,0,50,0.36
6,16,32,0,50,0.487
7,16,32,0,50,0.629
8,16,32,0,50,0.791
9,16,32,0,50,0.957
10,16,32,0,50,1.134
11,16,32,0,50,1.32
12,16,32,0,50,1.516
3,17,32,0,50,0.257
4,17,32,0,50,0.271
5,17,32,0,50,0.369
6,17,32,0,50,0.503
7,17,32,0,50,0.653
8,17,32,0,50,0.818
9,17,32,0,50,0.991
10,17,32,0,50,1.172
11,17,32,0,50,1.367
12,17,32,0,50,1.552
3,18,32,0,50,0.258
4,18,32,0,50,0.271
5,18,32,0,50,0.384
6,18,32,0,50,0.525
7,18,32,0,50,0.67
8,18,32,0,50,0.845
9,18,32,0,50,1.014
10,18,32,0,50,1.209
11,18,32,0,50,1.409
12,18,32,0,50,1.604
3,19,32,0,50,0.258
4,19,32,0,50,0.271
5,19,32,0,50,0.39
6,19,32,0,50,0.536
7,19,32,0,50,0.695
8,19,32,0,50,0.86
9,19,32,0,50,1.055
10,19,32,0,50,1.252
11,19,32,0,50,1.446
12,19,32,0,50,1.659
3,20,32,0,50,0.258
4,20,32,0,50,0.271
5,20,32,0,50,0.407
6,20,32,0,50,0.56
7,20,32,0,50,0.72
8,20,32,0,50,0.896
9,20,32,0,50,1.08
10,20,32,0,50,1.283
11,20,32,0,50,1.486
12,20,32,0,50,1.708
3,14,33,0,50,0.258
4,14,33,0,50,0.271
5,14,33,0,50,0.323
6,14,33,0,50,0.444
7,14,33,0,50,0.577
8,14,33,0,50,0.714
9,14,33,0,50,0.866
10,14,33,0,50,1.019
11,14,33,0,50,1.197
12,14,33,0,50,1.368
3,15,33,0,50,0.258
4,15,33,0,50,0.271
5,15,33,0,50,0.341
6,15,33,0,50,0.46
7,15,33,0,50,0.597
8,15,33,0,50,0.743
9,15,33,0,50,0.899
10,15,33,0,50,1.066
11,15,33,0,50,1.242
12,15,33,0,50,1.43
3,16,33,0,50,0.258
4,16,33,0,50,0.271
5,16,33,0,50,0.349
6,16,33,0,50,0.48
7,16,33,0,50,0.62
8,16,33,0,50,0.769
9,16,33,0,50,0.929
10,16,33,0,50,1.107
11,16,33,0,50,1.287
12,16,33,0,50,1.482
3,17,33,0,50,0.258
4,17,33,0,50,0.271
5,17,33,0,50,0.365
6,17,33,0,50,0.494
7,17,33,0,50,0.638
8,17,33,0,50,0.799
9,17,33,0,50,0.966
10,17,33,0,50,1.144
11,17,33,0,50,1.334
12,17,33,0,50,1.523
3,18,33,0,50,0.259
4,18,33,0,50,0.271
5,18,33,0,50,0.372
6,18,33,0,50,0.509
7,18,33,0,50,0.658
8,18,33,0,50,0.814
9,18,33,0,50,1.001
10,18,33,0,50,1.183
11,18,33,0,50,1.375
12,18,33,0,50,1.575
3,19,33,0,50,0.256
4,19,33,0,50,0.271
5,19,33,0,50,0.388
6,19,33,0,50,0.529
7,19,33,0,50,0.678
8,19,33,0,50,0.848
9,19,33,0,50,1.026
10,19,33,0,50,1.221
11,19,33,0,50,1.419
12,19,33,0,50,1.626
3,20,33,0,50,0.257
4,20,33,0,50,0.271
5,20,33,0,50,0.394
6,20,33,0,50,0.541
7,20,33,0,50,0.701
8,20,33,0,50,0.868
9,20,33,0,50,1.058
10,20,33,0,50,1.259
11,20,33,0,50,1.46
12,20,33,0,50,1.68
3,14,34,0,50,0.258
4,14,34,0,50,0.271
5,14,34,0,50,0.312
6,14,34,0,50,0.433
7,14,34,0,50,0.563
8,14,34,0,50,0.695
9,14,34,0,50,0.848
10,14,34,0,50,1.003
11,14,34,0,50,1.163
12,14,34,0,50,1.342
3,15,34,0,50,0.258
4,15,34,0,50,0.271
5,15,34,0,50,0.329
6,15,34,0,50,0.448
7,15,34,0,50,0.58
8,15,34,0,50,0.728
9,15,34,0,50,0.873
10,15,34,0,50,1.043
11,15,34,0,50,1.212
12,15,34,0,50,1.393
3,16,34,0,50,0.258
4,16,34,0,50,0.271
5,16,34,0,50,0.337
6,16,34,0,50,0.469
7,16,34,0,50,0.605
8,16,34,0,50,0.753
9,16,34,0,50,0.893
10,16,34,0,50,1.08
11,16,34,0,50,1.259
12,16,34,0,50,1.431
3,17,34,0,50,0.258
4,17,34,0,50,0.271
5,17,34,0,50,0.355
6,17,34,0,50,0.482
7,17,34,0,50,0.625
8,17,34,0,50,0.778
9,17,34,0,50,0.944
10,17,34,0,50,1.12
11,17,34,0,50,1.303
12,17,34,0,50,1.484
3,18,34,0,50,0.258
4,18,34,0,50,0.271
5,18,34,0,50,0.37
6,18,34,0,50,0.501
7,18,34,0,50,0.648
8,18,34,0,50,0.799
9,18,34,0,50,0.966
10,18,34,0,50,1.154
11,18,34,0,50,1.341
12,18,34,0,50,1.547
3,19,34,0,50,0.257
4,19,34,0,50,0.271
5,19,34,0,50,0.376
6,19,34,0,50,0.514
7,19,34,0,50,0.665
8,19,34,0,50,0.824
9,19,34,0,50,1.007
10,19,34,0,50,1.193
11,19,34,0,50,1.386
12,19,34,0,50,1.592
3,20,34,0,50,0.258
4,20,34,0,50,0.271
5,20,34,0,50,0.391
6,20,34,0,50,0.527
7,20,34,0,50,0.683
8,20,34,0,50,0.855
9,20,34,0,50,1.035
10,20,34,0,50,1.225
11,20,34,0,50,1.424
12,20,34,0,50,1.634
3,14,35,0,50,0.258
4,14,35,0,50,0.271
5,14,35,0,50,0.303
6,14,35,0,50,0.418
7,14,35,0,50,0.548
8,14,35,0,50,0.68
9,14,35,0,50,0.821
10,14,35,0,50,0.978
11,14,35,0,50,1.138
12,14,35,0,50,1.307
3,15,35,0,50,0.258
4,15,35,0,50,0.27
5,15,35,0,50,0.32
6,15,35,0,50,0.439
7,15,35,0,50,0.57
8,15,35,0,50,0.71
9,15,35,0,50,0.861
10,15,35,0,50,1.016
11,15,35,0,50,1.185
12,15,35,0,50,1.36
3,16,35,0,50,0.259
4,16,35,0,50,0.271
5,16,35,0,50,0.336
6,16,35,0,50,0.457
7,16,35,0,50,0.592
8,16,35,0,50,0.732
9,16,35,0,50,0.89
10,16,35,0,50,1.055
11,16,35,0,50,1.228
12,16,35,0,50,1.41
3,17,35,0,50,0.258
4,17,35,0,50,0.271
5,17,35,0,50,0.342
6,17,35,0,50,0.475
7,17,35,0,50,0.609
8,17,35,0,50,0.76
9,17,35,0,50,0.909
10,17,35,0,50,1.087
11,17,35,0,50,1.271
12,17,35,0,50,1.456
3,18,35,0,50,0.258
4,18,35,0,50,0.271
5,18,35,0,50,0.358
6,18,35,0,50,0.487
7,18,35,0,50,0.633
8,18,35,0,50,0.781
9,18,35,0,50,0.95
10,18,35,0,50,1.131
11,18,35,0,50,1.314
12,18,35,0,50,1.504
3,19,35,0,50,0.258
4,19,35,0,50,0.271
5,19,35,0,50,0.363
6,19,35,0,50,0.505
7,19,35,0,50,0.644
8,19,35,0,50,0.807
9,19,35,0,50,0.976
10,19,35,0,50,1.155
11,19,35,0,50,1.356
12,19,35,0,50,1.553
3,20,35,0,50,0.257
4,20,35,0,50,0.271
5,20,35,0,50,0.378
6,20,35,0,50,0.517
7,20,35,0,50,0.671
8,20,35,0,50,0.831
9,20,35,0,50,1.009
10,20,35,0,50,1.196
11,20,35,0,50,1.395
12,20,35,0,50,1.603
3,14,36,0,50,0.256
4,14,36,0,50,0.271
5,14,36,0,50,0.293
6,14,36,0,50,0.414
7,14,36,0,50,0.534
8,14,36,0,50,0.668
9,14,36,0,50,0.806
10,14,36,0,50,0.958
11,14,36,0,50,1.116
12,14,36,0,50,1.274
3,15,36,0,50,0.257
4,15,36,0,50,0.271
5,15,36,0,50,0.309
6,15,36,0,50,0.427
7,15,36,0,50,0.558
8,15,36,0,50,0.694
9,15,36,0,50,0.839
10,15,36,0,50,0.994
11,15,36,0,50,1.157
12,15,36,0,50,1.324
3,16,36,0,50,0.258
4,16,36,0,50,0.271
5,16,36,0,50,0.325
6,16,36,0,50,0.446
7,16,36,0,50,0.579
8,16,36,0,50,0.718
9,16,36,0,50,0.871
10,16,36,0,50,1.025
11,16,36,0,50,1.198
12,16,36,0,50,1.374
3,17,36,0,50,0.257
4,17,36,0,50,0.271
5,17,36,0,50,0.34
6,17,36,0,50,0.463
7,17,36,0,50,0.598
8,17,36,0,50,0.742
9,17,36,0,50,0.897
10,17,36,0,50,1.065
11,17,36,0,50,1.239
12,17,36,0,50,1.427
3,18,36,0,50,0.257
4,18,36,0,50,0.27
5,18,36,0,50,0.346
6,18,36,0,50,0.477
7,18,36,0,50,0.616
8,18,36,0,50,0.763
9,18,36,0,50,0.921
10,18,36,0,50,1.102
11,18,36,0,50,1.276
12,18,36,0,50,1.469
3,19,36,0,50,0.258
4,19,36,0,50,0.271
5,19,36,0,50,0.361
6,19,36,0,50,0.488
7,19,36,0,50,0.63
8,19,36,0,50,0.792
9,19,36,0,50,0.956
10,19,36,0,50,1.131
11,19,36,0,50,1.324
12,19,36,0,50,1.52
3,20,36,0,50,0.258
4,20,36,0,50,0.27
5,20,36,0,50,0.366
6,20,36,0,50,0.507
7,20,36,0,50,0.649
8,20,36,0,50,0.813
9,20,36,0,50,0.988
10,20,36,0,50,1.165
11,20,36,0,50,1.359
12,20,36,0,50,1.565
3,14,37,0,50,0.258
4,14,37,0,50,0.271
5,14,37,0,50,0.283
6,14,37,0,50,0.4
7,14,37,0,50,0.525
8,14,37,0,50,0.649
9,14,37,0,50,0.792
10,14,37,0,50,0.934
11,14,37,0,50,1.086
12,14,37,0,50,1.251
3,15,37,0,50,0.257
4,15,37,0,50,0.271
5,15,37,0,50,0.299
6,15,37,0,50,0.422
7,15,37,0,50,0.541
8,15,37,0,50,0.679
9,15,37,0,50,0.822
10,15,37,0,50,0.962
11,15,37,0,50,1.132
12,15,37,0,50,1.295
3,16,37,0,50,0.258
4,16,37,0,50,0.272
5,16,37,0,50,0.314
6,16,37,0,50,0.434
7,16,37,0,50,0.565
8,16,37,0,50,0.698
9,16,37,0,50,0.85
10,16,37,0,50,1.007
11,16,37,0,50,1.167
12,16,37,0,50,1.339
3,17,37,0,50,0.257
4,17,37,0,50,0.271
5,17,37,0,50,0.329
6,17,37,0,50,0.452
7,17,37,0,50,0.578
8,17,37,0,50,0.726
9,17,37,0,50,0.879
10,17,37,0,50,1.038
11,17,37,0,50,1.208
12,17,37,0,50,1.392
3,18,37,0,50,0.26
4,18,37,0,50,0.271
5,18,37,0,50,0.334
6,18,37,0,50,0.465
7,18,37,0,50,0.601
8,18,37,0,50,0.746
9,18,37,0,50,0.895
10,18,37,0,50,1.069
11,18,37,0,50,1.25
12,18,37,0,50,1.439
3,19,37,0,50,0.257
4,19,37,0,50,0.271
5,19,37,0,50,0.349
6,19,37,0,50,0.479
7,19,37,0,50,0.621
8,19,37,0,50,0.77
9,19,37,0,50,0.93
10,19,37,0,50,1.108
11,19,37,0,50,1.289
12,19,37,0,50,1.484
3,20,37,0,50,0.258
4,20,37,0,50,0.271
5,20,37,0,50,0.363
6,20,37,0,50,0.491
7,20,37,0,50,0.634
8,20,37,0,50,0.796
9,20,37,0,50,0.958
10,20,37,0,50,1.14
11,20,37,0,50,1.323
12,20,37,0,50,1.527
3,14,38,0,50,0.258
4,14,38,0,50,0.27
5,14,38,0,50,0.281
6,14,38,0,50,0.395
7,14,38,0,50,0.507
8,14,38,0,50,0.634
9,14,38,0,50,0.772
10,14,38,0,50,0.911
11,14,38,0,50,1.065
12,14,38,0,50,1.224
3,15,38,0,50,0.258
4,15,38,0,50,0.271
5,15,38,0,50,0.288
6,15,38,0,50,0.408
7,15,38,0,50,0.526
8,15,38,0,50,0.663
9,15,38,0,50,0.802
10,15,38,0,50,0.947
11,15,38,0,50,1.104
12,15,38,0,50,1.27
3,16,38,0,50,0.257
4,16,38,0,50,0.271
5,16,38,0,50,0.303
6,16,38,0,50,0.419
7,16,38,0,50,0.55
8,16,38,0,50,0.682
9,16,38,0,50,0.823
10,16,38,0,50,0.978
11,16,38,0,50,1.141
12,16,38,0,50,1.311
3,17,38,0,50,0.258
4,17,38,0,50,0.271
5,17,38,0,50,0.318
6,17,38,0,50,0.44
7,17,38,0,50,0.568
8,17,38,0,50,0.707
9,17,38,0,50,0.858
10,17,38,0,50,1.015
11,17,38,0,50,1.18
12,17,38,0,50,1.359
3,18,38,0,50,0.257
4,18,38,0,50,0.271
5,18,38,0,50,0.332
6,18,38,0,50,0.452
7,18,38,0,50,0.584
8,18,38,0,50,0.724
9,18,38,0,50,0.88
10,18,38,0,50,1.047
11,18,38,0,50,1.22
12,18,38,0,50,1.394
3,19,38,0,50,0.257
4,19,38,0,50,0.271
5,19,38,0,50,0.338
6,19,38,0,50,0.468
7,19,38,0,50,0.605
8,19,38,0,50,0.752
9,19,38,0,50,0.903
10,19,38,0,50,1.079
11,19,38,0,50,1.258
12,19,38,0,50,1.43
3,20,38,0,50,0.257
4,20,38,0,50,0.271
5,20,38,0,50,0.351
6,20,38,0,50,0.482
7,20,38,0,50,0.622
8,20,38,0,50,0.77
9,20,38,0,50,0.935
10,20,38,0,50,1.11
11,20,38,0,50,1.297
12,20,38,0,50,1.486
3,14,27,5,50,0.258
4,14,27,5,50,0.279
5,14,27,5,50,0.419
6,14,27,5,50,0.559
7,14,27,5,50,0.713
8,14,27,5,50,0.871
9,14,27,5,50,1.056
10,14,27,5,50,1.242
11,14,27,5,50,1.422
12,14,27,5,50,1.647
3,15,27,5,50,0.258
4,15,27,5,50,0.29
5,15,27,5,50,0.429
6,15,27,5,50,0.58
7,15,27,5,50,0.738
8,15,27,5,50,0.891
9,15,27,5,50,1.091
10,15,27,5,50,1.286
11,15,27,5,50,1.478
12,15,27,5,50,1.695
3,16,27,5,50,0.258
4,16,27,5,50,0.303
5,16,27,5,50,0.444
6,16,27,5,50,0.597
7,16,27,5,50,0.758
8,16,27,5,50,0.941
9,16,27,5,50,1.133
10,16,27,5,50,1.331
11,16,27,5,50,1.544
12,16,27,5,50,1.765
3,17,27,5,50,0.258
4,17,27,5,50,0.314
5,17,27,5,50,0.46
6,17,27,5,50,0.616
7,17,27,5,50,0.789
8,17,27,5,50,0.961
9,17,27,5,50,1.163
10,17,27,5,50,1.372
11,17,27,5,50,1.594
3,18,27,5,50,0.258
4,18,27,5,50,0.326
5,18,27,5,50,0.476
6,18,27,5,50,0.631
7,18,27,5,50,0.809
8,18,27,5,50,1
9,18,27,5,50,1.196
10,18,27,5,50,1.421
11,18,27,5,50,1.645
3,19,27,5,50,0.257
4,19,27,5,50,0.338
5,19,27,5,50,0.485
6,19,27,5,50,0.65
7,19,27,5,50,0.831
8,19,27,5,50,1.027
9,19,27,5,50,1.235
10,19,27,5,50,1.454
11,19,27,5,50,1.696
3,20,27,5,50,0.258
4,20,27,5,50,0.342
5,20,27,5,50,0.502
6,20,27,5,50,0.673
7,20,27,5,50,0.859
8,20,27,5,50,1.054
9,20,27,5,50,1.272
10,20,27,5,50,1.489
11,20,27,5,50,1.742
3,14,28,5,50,0.257
4,14,28,5,50,0.271
5,14,28,5,50,0.406
6,14,28,5,50,0.543
7,14,28,5,50,0.688
8,14,28,5,50,0.86
9,14,28,5,50,1.029
10,14,28,5,50,1.215
11,14,28,5,50,1.404
12,14,28,5,50,1.593
3,15,28,5,50,0.258
4,15,28,5,50,0.282
5,15,28,5,50,0.415
6,15,28,5,50,0.565
7,15,28,5,50,0.719
8,15,28,5,50,0.89
9,15,28,5,50,1.072
10,15,28,5,50,1.262
11,15,28,5,50,1.455
12,15,28,5,50,1.658
3,16,28,5,50,0.258
4,16,28,5,50,0.294
5,16,28,5,50,0.433
6,16,28,5,50,0.579
7,16,28,5,50,0.747
8,16,28,5,50,0.908
9,16,28,5,50,1.106
10,16,28,5,50,1.303
11,16,28,5,50,1.507
12,16,28,5,50,1.724
3,17,28,5,50,0.258
4,17,28,5,50,0.306
5,17,28,5,50,0.449
6,17,28,5,50,0.601
7,17,28,5,50,0.768
8,17,28,5,50,0.947
9,17,28,5,50,1.138
10,17,28,5,50,1.34
11,17,28,5,50,1.561
3,18,28,5,50,0.257
4,18,28,5,50,0.317
5,18,28,5,50,0.464
6,18,28,5,50,0.622
7,18,28,5,50,0.795
8,18,28,5,50,0.972
9,18,28,5,50,1.173
10,18,28,5,50,1.384
11,18,28,5,50,1.608
3,19,28,5,50,0.258
4,19,28,5,50,0.327
5,19,28,5,50,0.475
6,19,28,5,50,0.636
7,19,28,5,50,0.816
8,19,28,5,50,1.009
9,19,28,5,50,1.208
10,19,28,5,50,1.428
11,19,28,5,50,1.634
3,20,28,5,50,0.258
4,20,28,5,50,0.339
5,20,28,5,50,0.488
6,20,28,5,50,0.654
7,20,28,5,50,0.837
8,20,28,5,50,1.034
9,20,28,5,50,1.245
10,20,28,5,50,1.466
11,20,28,5,50,1.713
3,14,29,5,50,0.258
4,14,29,5,50,0.271
5,14,29,5,50,0.394
6,14,29,5,50,0.53
7,14,29,5,50,0.674
8,14,29,5,50,0.838
9,14,29,5,50,1.006
10,14,29,5,50,1.189
11,14,29,5,50,1.373
12,14,29,5,50,1.562
3,15,29,5,50,0.258
4,15,29,5,50,0.273
5,15,29,5,50,0.412
6,15,29,5,50,0.552
7,15,29,5,50,0.701
8,15,29,5,50,0.871
9,15,29,5,50,1.045
10,15,29,5,50,1.232
11,15,29,5,50,1.429
12,15,29,5,50,1.64
3,16,29,5,50,0.258
4,16,29,5,50,0.284
5,16,29,5,50,0.42
6,16,29,5,50,0.569
7,16,29,5,50,0.721
8,16,29,5,50,0.899
9,16,29,5,50,1.082
10,16,29,5,50,1.274
11,16,29,5,50,1.476
