L [m],Gamma soil kN/m3],phi soil [degree],Surcharge [kN/m],Concrete cost,Pile Diameter (X1) [m]
8,15,28,0,50,0.844
9,15,28,0,50,1.013
10,15,28,0,50,1.209
11,15,28,0,50,1.409
12,15,28,0,50,1.607
3,16,28,0,50,0.253
4,16,28,0,50,0.266
5,16,28,0,50,0.391
6,16,28,0,50,0.54
7,16,28,0,50,0.7
8,16,28,0,50,0.868
9,16,28,0,50,1.058
10,16,28,0,50,1.26
11,16,28,0,50,1.461
12,16,28,0,50,1.677
3,17,28,0,50,0.253
4,17,28,0,50,0.266
5,17,28,0,50,0.413
6,17,28,0,50,0.565
7,17,28,0,50,0.722
8,17,28,0,50,0.888
9,17,28,0,50,1.099
10,17,28,0,50,1.301
11,17,28,0,50,1.516
12,17,28,0,50,1.723
3,18,28,0,50,0.253
4,18,28,0,50,0.274
5,18,28,0,50,0.424
6,18,28,0,50,0.579
7,18,28,0,50,0.756
8,18,28,0,50,0.938
9,18,28,0,50,1.133
10,18,28,0,50,1.34
11,18,28,0,50,1.567
3,19,28,0,50,0.253
4,19,28,0,50,0.288
5,19,28,0,50,0.44
6,19,28,0,50,0.602
7,19,28,0,50,0.779
8,19,28,0,50,0.97
9,19,28,0,50,1.17
10,19,28,0,50,1.386
11,19,28,0,50,1.598
3,20,28,0,50,0.253
4,20,28,0,50,0.301
5,20,28,0,50,0.456
6,20,28,0,50,0.622
7,20,28,0,50,0.796
8,20,28,0,50,1.001
9,20,28,0,50,1.203
10,20,28,0,50,1.426
11,20,28,0,50,1.652
3,14,29,0,50,0.253
4,14,29,0,50,0.267
5,14,29,0,50,0.357
6,14,29,0,50,0.49
7,14,29,0,50,0.631
8,14,29,0,50,0.793
9,14,29,0,50,0.959
10,14,29,0,50,1.136
11,14,29,0,50,1.32
12,14,29,0,50,1.524
3,15,29,0,50,0.253
4,15,29,0,50,0.266
5,15,29,0,50,0.367
6,15,29,0,50,0.508
7,15,29,0,50,0.663
8,15,29,0,50,0.815
9,15,29,0,50,1.002
10,15,29,0,50,1.185
11,15,29,0,50,1.376
12,15,29,0,50,1.578
3,16,29,0,50,0.253
4,16,29,0,50,0.266
5,16,29,0,50,0.389
6,16,29,0,50,0.526
7,16,29,0,50,0.684
8,16,29,0,50,0.857
9,16,29,0,50,1.037
10,16,29,0,50,1.228
11,16,29,0,50,1.429
12,16,29,0,50,1.649
3,17,29,0,50,0.255
4,17,29,0,50,0.266
5,17,29,0,50,0.398
6,17,29,0,50,0.551
7,17,29,0,50,0.714
8,17,29,0,50,0.886
9,17,29,0,50,1.07
10,17,29,0,50,1.271
11,17,29,0,50,1.484
12,17,29,0,50,1.677
3,18,29,0,50,0.253
4,18,29,0,50,0.266
5,18,29,0,50,0.419
6,18,29,0,50,0.569
7,18,29,0,50,0.735
8,18,29,0,50,0.905
9,18,29,0,50,1.107
10,18,29,0,50,1.316
11,18,29,0,50,1.522
3,19,29,0,50,0.253
4,19,29,0,50,0.278
5,19,29,0,50,0.428
6,19,29,0,50,0.587
7,19,29,0,50,0.761
8,19,29,0,50,0.95
9,19,29,0,50,1.144
10,19,29,0,50,1.358
11,19,29,0,50,1.569
3,20,29,0,50,0.253
4,20,29,0,50,0.29
5,20,29,0,50,0.445
6,20,29,0,50,0.609
7,20,29,0,50,0.78
8,20,29,0,50,0.967
9,20,29,0,50,1.178
10,20,29,0,50,1.398
11,20,29,0,50,1.62
3,14,30,0,50,0.253
4,14,30,0,50,0.266
5,14,30,0,50,0.346
6,14,30,0,50,0.479
7,14,30,0,50,0.622
8,14,30,0,50,0.77
9,14,30,0,50,0.936
10,14,30,0,50,1.11
11,14,30,0,50,1.298
12,14,30,0,50,1.488
3,15,30,0,50,0.254
4,15,30,0,50,0.266
5,15,30,0,50,0.366
6,15,30,0,50,0.498
7,15,30,0,50,0.648
8,15,30,0,50,0.8
9,15,30,0,50,0.967
10,15,30,0,50,1.157
11,15,30,0,50,1.344
12,15,30,0,50,1.54
3,16,30,0,50,0.253
4,16,30,0,50,0.266
5,16,30,0,50,0.376
6,16,30,0,50,0.518
7,16,30,0,50,0.673
8,16,30,0,50,0.834
9,16,30,0,50,1.013
10,16,30,0,50,1.191
11,16,30,0,50,1.401
12,16,30,0,50,1.606
3,17,30,0,50,0.253
4,17,30,0,50,0.266
5,17,30,0,50,0.395
6,17,30,0,50,0.535
7,17,30,0,50,0.697
8,17,30,0,50,0.867
9,17,30,0,50,1.051
10,17,30,0,50,1.243
11,17,30,0,50,1.434
12,17,30,0,50,1.642
3,18,30,0,50,0.253
4,18,30,0,50,0.266
5,18,30,0,50,0.404
6,18,30,0,50,0.557
7,18,30,0,50,0.719
8,18,30,0,50,0.894
9,18,30,0,50,1.076
10,18,30,0,50,1.281
11,18,30,0,50,1.483
12,18,30,0,50,1.709
3,19,30,0,50,0.252
4,19,30,0,50,0.269
5,19,30,0,50,0.413
6,19,30,0,50,0.577
7,19,30,0,50,0.743
8,19,30,0,50,0.915
9,19,30,0,50,1.121
10,19,30,0,50,1.319
11,19,30,0,50,1.542
12,19,30,0,50,1.779
3,20,30,0,50,0.253
4,20,30,0,50,0.28
5,20,30,0,50,0.433
6,20,30,0,50,0.594
7,20,30,0,50,0.763
8,20,30,0,50,0.949
9,20,30,0,50,1.15
10,20,30,0,50,1.366
11,20,30,0,50,1.585
3,14,31,0,50,0.252
4,14,31,0,50,0.266
5,14,31,0,50,0.335
6,14,31,0,50,0.466
7,14,31,0,50,0.606
8,14,31,0,50,0.757
9,14,31,0,50,0.902
10,14,31,0,50,1.08
11,14,31,0,50,1.266
12,14,31,0,50,1.446
3,15,31,0,50,0.253
4,15,31,0,50,0.266
5,15,31,0,50,0.353
6,15,31,0,50,0.484
7,15,31,0,50,0.624
8,15,31,0,50,0.787
9,15,31,0,50,0.953
10,15,31,0,50,1.132
11,15,31,0,50,1.317
12,15,31,0,50,1.511
3,16,31,0,50,0.254
4,16,31,0,50,0.266
5,16,31,0,50,0.362
6,16,31,0,50,0.507
7,16,31,0,50,0.653
8,16,31,0,50,0.818
9,16,31,0,50,0.991
10,16,31,0,50,1.172
11,16,31,0,50,1.368
12,16,31,0,50,1.551
3,17,31,0,50,0.253
4,17,31,0,50,0.266
5,17,31,0,50,0.382
6,17,31,0,50,0.527
7,17,31,0,50,0.671
8,17,31,0,50,0.847
9,17,31,0,50,1.018
10,17,31,0,50,1.214
11,17,31,0,50,1.415
12,17,31,0,50,1.612
3,18,31,0,50,0.253
4,18,31,0,50,0.266
5,18,31,0,50,0.391
6,18,31,0,50,0.539
7,18,31,0,50,0.699
8,18,31,0,50,0.866
9,18,31,0,50,1.056
10,18,31,0,50,1.257
11,18,31,0,50,1.459
12,18,31,0,50,1.681
3,19,31,0,50,0.253
4,19,31,0,50,0.266
5,19,31,0,50,0.409
6,19,31,0,50,0.561
7,19,31,0,50,0.726
8,19,31,0,50,0.905
9,19,31,0,50,1.09
10,19,31,0,50,1.297
11,19,31,0,50,1.503
12,19,31,0,50,1.729
3,20,31,0,50,0.253
4,20,31,0,50,0.27
5,20,31,0,50,0.418
6,20,31,0,50,0.581
7,20,31,0,50,0.745
8,20,31,0,50,0.925
9,20,31,0,50,1.13
10,20,31,0,50,1.333
11,20,31,0,50,1.548
3,14,32,0,50,0.253
4,14,32,0,50,0.266
5,14,32,0,50,0.334
6,14,32,0,50,0.454
7,14,32,0,50,0.591
8,14,32,0,50,0.735
9,14,32,0,50,0.896
10,14,32,0,50,1.058
11,14,32,0,50,1.238
12,14,32,0,50,1.419
3,15,32,0,50,0.253
4,15,32,0,50,0.266
5,15,32,0,50,0.343
6,15,32,0,50,0.473
7,15,32,0,50,0.615
8,15,32,0,50,0.767
9,15,32,0,50,0.925
10,15,32,0,50,1.103
11,15,32,0,50,1.283
12,15,32,0,50,1.479
3,16,32,0,50,0.253
4,16,32,0,50,0.266
5,16,32,0,50,0.361
6,16,32,0,50,0.491
7,16,32,0,50,0.638
8,16,32,0,50,0.799
9,16,32,0,50,0.966
10,16,32,0,50,1.144
11,16,32,0,50,1.335
12,16,32,0,50,1.525
3,17,32,0,50,0.253
4,17,32,0,50,0.266
5,17,32,0,50,0.37
6,17,32,0,50,0.508
7,17,32,0,50,0.66
8,17,32,0,50,0.817
9,17,32,0,50,1.005
10,17,32,0,50,1.186
11,17,32,0,50,1.381
12,17,32,0,50,1.582
3,18,32,0,50,0.253
4,18,32,0,50,0.266
5,18,32,0,50,0.388
6,18,32,0,50,0.524
7,18,32,0,50,0.682
8,18,32,0,50,0.853
9,18,32,0,50,1.034
10,18,32,0,50,1.223
11,18,32,0,50,1.43
12,18,32,0,50,1.641
3,19,32,0,50,0.252
4,19,32,0,50,0.266
5,19,32,0,50,0.395
6,19,32,0,50,0.545
7,19,32,0,50,0.707
8,19,32,0,50,0.876
9,19,32,0,50,1.069
10,19,32,0,50,1.265
11,19,32,0,50,1.47
12,19,32,0,50,1.692
3,20,32,0,50,0.253
4,20,32,0,50,0.266
5,20,32,0,50,0.414
6,20,32,0,50,0.565
7,20,32,0,50,0.723
8,20,32,0,50,0.889
9,20,32,0,50,1.101
10,20,32,0,50,1.303
11,20,32,0,50,1.518
12,20,32,0,50,1.779
3,14,33,0,50,0.254
4,14,33,0,50,0.266
5,14,33,0,50,0.323
6,14,33,0,50,0.444
7,14,33,0,50,0.578
8,14,33,0,50,0.72
9,14,33,0,50,0.863
10,14,33,0,50,1.036
11,14,33,0,50,1.203
12,14,33,0,50,1.386
3,15,33,0,50,0.253
4,15,33,0,50,0.266
5,15,33,0,50,0.341
6,15,33,0,50,0.464
7,15,33,0,50,0.598
8,15,33,0,50,0.748
9,15,33,0,50,0.889
10,15,33,0,50,1.077
11,15,33,0,50,1.259
12,15,33,0,50,1.427
3,16,33,0,50,0.253
4,16,33,0,50,0.266
5,16,33,0,50,0.349
6,16,33,0,50,0.481
7,16,33,0,50,0.626
8,16,33,0,50,0.777
9,16,33,0,50,0.945
10,16,33,0,50,1.121
11,16,33,0,50,1.304
12,16,33,0,50,1.486
3,17,33,0,50,0.253
4,17,33,0,50,0.266
5,17,33,0,50,0.367
6,17,33,0,50,0.499
7,17,33,0,50,0.64
8,17,33,0,50,0.801
9,17,33,0,50,0.969
10,17,33,0,50,1.159
11,17,33,0,50,1.347
12,17,33,0,50,1.543
3,18,33,0,50,0.253
4,18,33,0,50,0.266
5,18,33,0,50,0.373
6,18,33,0,50,0.516
7,18,33,0,50,0.67
8,18,33,0,50,0.83
9,18,33,0,50,1.008
10,18,33,0,50,1.195
11,18,33,0,50,1.394
12,18,33,0,50,1.604
3,19,33,0,50,0.254
4,19,33,0,50,0.266
5,19,33,0,50,0.392
6,19,33,0,50,0.53
7,19,33,0,50,0.691
8,19,33,0,50,0.862
9,19,33,0,50,1.043
10,19,33,0,50,1.235
11,19,33,0,50,1.44
12,19,33,0,50,1.654
3,20,33,0,50,0.253
4,20,33,0,50,0.266
5,20,33,0,50,0.398
6,20,33,0,50,0.551
7,20,33,0,50,0.713
8,20,33,0,50,0.886
9,20,33,0,50,1.07
10,20,33,0,50,1.27
11,20,33,0,50,1.484
12,20,33,0,50,1.683
3,14,34,0,50,0.253
4,14,34,0,50,0.266
5,14,34,0,50,0.313
6,14,34,0,50,0.433
7,14,34,0,50,0.563
8,14,34,0,50,0.698
9,14,34,0,50,0.85
10,14,34,0,50,1.01
11,14,34,0,50,1.177
12,14,34,0,50,1.357
3,15,34,0,50,0.253
4,15,34,0,50,0.266
5,15,34,0,50,0.33
6,15,34,0,50,0.449
7,15,34,0,50,0.582
8,15,34,0,50,0.725
9,15,34,0,50,0.886
10,15,34,0,50,1.056
11,15,34,0,50,1.224
12,15,34,0,50,1.406
3,16,34,0,50,0.253
4,16,34,0,50,0.265
5,16,34,0,50,0.338
6,16,34,0,50,0.47
7,16,34,0,50,0.605
8,16,34,0,50,0.759
9,16,34,0,50,0.91
10,16,34,0,50,1.088
11,16,34,0,50,1.272
12,16,34,0,50,1.459
3,17,34,0,50,0.254
4,17,34,0,50,0.266
5,17,34,0,50,0.354
6,17,34,0,50,0.485
7,17,34,0,50,0.625
8,17,34,0,50,0.788
9,17,34,0,50,0.954
10,17,34,0,50,1.133
11,17,34,0,50,1.317
12,17,34,0,50,1.513
3,18,34,0,50,0.253
4,18,34,0,50,0.266
5,18,34,0,50,0.361
6,18,34,0,50,0.506
7,18,34,0,50,0.649
8,18,34,0,50,0.813
9,18,34,0,50,0.988
10,18,34,0,50,1.165
11,18,34,0,50,1.359
12,18,34,0,50,1.566
3,19,34,0,50,0.253
4,19,34,0,50,0.267
5,19,34,0,50,0.378
6,19,34,0,50,0.521
7,19,34,0,50,0.673
8,19,34,0,50,0.84
9,19,34,0,50,1.016
10,19,34,0,50,1.199
11,19,34,0,50,1.399
12,19,34,0,50,1.592
3,20,34,0,50,0.253
4,20,34,0,50,0.266
5,20,34,0,50,0.394
6,20,34,0,50,0.535
7,20,34,0,50,0.695
8,20,34,0,50,0.865
9,20,34,0,50,1.049
10,20,34,0,50,1.24
11,20,34,0,50,1.431
12,20,34,0,50,1.658
3,14,35,0,50,0.253
4,14,35,0,50,0.267
5,14,35,0,50,0.303
6,14,35,0,50,0.418
7,14,35,0,50,0.548
8,14,35,0,50,0.681
9,14,35,0,50,0.826
10,14,35,0,50,0.989
11,14,35,0,50,1.153
12,14,35,0,50,1.315
3,15,35,0,50,0.253
4,15,35,0,50,0.266
5,15,35,0,50,0.319
6,15,35,0,50,0.438
7,15,35,0,50,0.571
8,15,35,0,50,0.71
9,15,35,0,50,0.865
10,15,35,0,50,1.021
11,15,35,0,50,1.196
12,15,35,0,50,1.371
3,16,35,0,50,0.252
4,16,35,0,50,0.266
5,16,35,0,50,0.335
6,16,35,0,50,0.457
7,16,35,0,50,0.595
8,16,35,0,50,0.74
9,16,35,0,50,0.898
10,16,35,0,50,1.066
11,16,35,0,50,1.241
12,16,35,0,50,1.429
3,17,35,0,50,0.253
4,17,35,0,50,0.266
5,17,35,0,50,0.342
6,17,35,0,50,0.474
7,17,35,0,50,0.615
8,17,35,0,50,0.766
9,17,35,0,50,0.926
10,17,35,0,50,1.102
11,17,35,0,50,1.283
12,17,35,0,50,1.478
3,18,35,0,50,0.253
4,18,35,0,50,0.266
5,18,35,0,50,0.358
6,18,35,0,50,0.488
7,18,35,0,50,0.633
8,18,35,0,50,0.796
9,18,35,0,50,0.959
10,18,35,0,50,1.136
11,18,35,0,50,1.326
12,18,35,0,50,1.514
3,19,35,0,50,0.253
4,19,35,0,50,0.266
5,19,35,0,50,0.364
6,19,35,0,50,0.509
7,19,35,0,50,0.656
8,19,35,0,50,0.822
9,19,35,0,50,0.992
10,19,35,0,50,1.172
11,19,35,0,50,1.362
12,19,35,0,50,1.561
3,20,35,0,50,0.253
4,20,35,0,50,0.266
5,20,35,0,50,0.381
6,20,35,0,50,0.525
7,20,35,0,50,0.669
8,20,35,0,50,0.845
9,20,35,0,50,1.014
10,20,35,0,50,1.21
11,20,35,0,50,1.409
12,20,35,0,50,1.611
3,14,36,0,50,0.254
4,14,36,0,50,0.268
5,14,36,0,50,0.295
6,14,36,0,50,0.414
7,14,36,0,50,0.534
8,14,36,0,50,0.668
9,14,36,0,50,0.809
10,14,36,0,50,0.96
11,14,36,0,50,1.125
12,14,36,0,50,1.291
3,15,36,0,50,0.253
4,15,36,0,50,0.266
5,15,36,0,50,0.308
6,15,36,0,50,0.427
7,15,36,0,50,0.558
8,15,36,0,50,0.697
9,15,36,0,50,0.844
10,15,36,0,50,1.001
11,15,36,0,50,1.164
12,15,36,0,50,1.345
3,16,36,0,50,0.253
4,16,36,0,50,0.266
5,16,36,0,50,0.324
6,16,36,0,50,0.446
7,16,36,0,50,0.572
8,16,36,0,50,0.722
9,16,36,0,50,0.868
10,16,36,0,50,1.039
11,16,36,0,50,1.21
12,16,36,0,50,1.392
3,17,36,0,50,0.253
4,17,36,0,50,0.265
5,17,36,0,50,0.34
6,17,36,0,50,0.464
7,17,36,0,50,0.6
8,17,36,0,50,0.747
9,17,36,0,50,0.888
10,17,36,0,50,1.075
11,17,36,0,50,1.257
12,17,36,0,50,1.425
3,18,36,0,50,0.253
4,18,36,0,50,0.266
5,18,36,0,50,0.346
6,18,36,0,50,0.479
7,18,36,0,50,0.62
8,18,36,0,50,0.771
9,18,36,0,50,0.937
10,18,36,0,50,1.112
11,18,36,0,50,1.293
12,18,36,0,50,1.491
3,19,36,0,50,0.253
4,19,36,0,50,0.266
5,19,36,0,50,0.362
6,19,36,0,50,0.492
7,19,36,0,50,0.639
8,19,36,0,50,0.79
9,19,36,0,50,0.969
10,19,36,0,50,1.148
11,19,36,0,50,1.339
12,19,36,0,50,1.53
3,20,36,0,50,0.253
4,20,36,0,50,0.266
5,20,36,0,50,0.366
6,20,36,0,50,0.506
7,20,36,0,50,0.656
8,20,36,0,50,0.813
9,20,36,0,50,1
10,20,36,0,50,1.182
11,20,36,0,50,1.373
12,20,36,0,50,1.578
3,14,37,0,50,0.253
4,14,37,0,50,0.266
5,14,37,0,50,0.283
6,14,37,0,50,0.4
7,14,37,0,50,0.525
8,14,37,0,50,0.649
9,14,37,0,50,0.793
10,14,37,0,50,0.939
11,14,37,0,50,1.094
12,14,37,0,50,1.261
3,15,37,0,50,0.253
4,15,37,0,50,0.266
5,15,37,0,50,0.298
6,15,37,0,50,0.423
7,15,37,0,50,0.541
8,15,37,0,50,0.67
9,15,37,0,50,0.812
10,15,37,0,50,0.97
11,15,37,0,50,1.139
12,15,37,0,50,1.308
3,16,37,0,50,0.254
4,16,37,0,50,0.266
5,16,37,0,50,0.315
6,16,37,0,50,0.434
7,16,37,0,50,0.564
8,16,37,0,50,0.701
9,16,37,0,50,0.854
10,16,37,0,50,1.015
11,16,37,0,50,1.183
12,16,37,0,50,1.356
3,17,37,0,50,0.253
4,17,37,0,50,0.266
5,17,37,0,50,0.329
6,17,37,0,50,0.452
7,17,37,0,50,0.58
8,17,37,0,50,0.723
9,17,37,0,50,0.883
10,17,37,0,50,1.053
11,17,37,0,50,1.22
12,17,37,0,50,1.401
3,18,37,0,50,0.253
4,18,37,0,50,0.266
5,18,37,0,50,0.335
6,18,37,0,50,0.466
7,18,37,0,50,0.605
8,18,37,0,50,0.756
9,18,37,0,50,0.899
10,18,37,0,50,1.077
11,18,37,0,50,1.265
12,18,37,0,50,1.443
3,19,37,0,50,0.253
4,19,37,0,50,0.266
5,19,37,0,50,0.349
6,19,37,0,50,0.482
7,19,37,0,50,0.626
8,19,37,0,50,0.778
9,19,37,0,50,0.947
10,19,37,0,50,1.122
11,19,37,0,50,1.306
12,19,37,0,50,1.487
3,20,37,0,50,0.253
4,20,37,0,50,0.266
5,20,37,0,50,0.364
6,20,37,0,50,0.496
7,20,37,0,50,0.644
8,20,37,0,50,0.795
9,20,37,0,50,0.962
10,20,37,0,50,1.151
11,20,37,0,50,1.346
12,20,37,0,50,1.542
3,14,38,0,50,0.253
4,14,38,0,50,0.266
5,14,38,0,50,0.276
6,14,38,0,50,0.396
7,14,38,0,50,0.507
8,14,38,0,50,0.634
9,14,38,0,50,0.772
10,14,38,0,50,0.912
11,14,38,0,50,1.07
12,14,38,0,50,1.228
3,15,38,0,50,0.253
4,15,38,0,50,0.266
5,15,38,0,50,0.289
6,15,38,0,50,0.408
7,15,38,0,50,0.526
8,15,38,0,50,0.663
9,15,38,0,50,0.795
10,15,38,0,50,0.952
11,15,38,0,50,1.109
12,15,38,0,50,1.28
3,16,38,0,50,0.253
4,16,38,0,50,0.266
5,16,38,0,50,0.303
6,16,38,0,50,0.419
7,16,38,0,50,0.55
8,16,38,0,50,0.683
9,16,38,0,50,0.829
10,16,38,0,50,0.989
11,16,38,0,50,1.151
12,16,38,0,50,1.319
3,17,38,0,50,0.253
4,17,38,0,50,0.266
5,17,38,0,50,0.318
6,17,38,0,50,0.44
7,17,38,0,50,0.569
8,17,38,0,50,0.712
9,17,38,0,50,0.865
10,17,38,0,50,1.016
11,17,38,0,50,1.196
12,17,38,0,50,1.365
3,18,38,0,50,0.253
4,18,38,0,50,0.266
5,18,38,0,50,0.333
6,18,38,0,50,0.452
7,18,38,0,50,0.588
8,18,38,0,50,0.732
9,18,38,0,50,0.894
10,18,38,0,50,1.053
11,18,38,0,50,1.235
12,18,38,0,50,1.419
3,19,38,0,50,0.253
4,19,38,0,50,0.266
5,19,38,0,50,0.337
6,19,38,0,50,0.47
7,19,38,0,50,0.604
8,19,38,0,50,0.759
9,19,38,0,50,0.92
10,19,38,0,50,1.087
11,19,38,0,50,1.271
12,19,38,0,50,1.457
3,20,38,0,50,0.253
4,20,38,0,50,0.266
5,20,38,0,50,0.351
6,20,38,0,50,0.48
7,20,38,0,50,0.628
8,20,38,0,50,0.777
9,20,38,0,50,0.952
10,20,38,0,50,1.127
11,20,38,0,50,1.308
12,20,38,0,50,1.498
3,14,27,5,50,0.253
4,14,27,5,50,0.279
5,14,27,5,50,0.423
6,14,27,5,50,0.564
7,14,27,5,50,0.72
8,14,27,5,50,0.888
9,14,27,5,50,1.069
10,14,27,5,50,1.258
11,14,27,5,50,1.45
12,14,27,5,50,1.662
3,15,27,5,50,0.254
4,15,27,5,50,0.292
5,15,27,5,50,0.434
6,15,27,5,50,0.58
7,15,27,5,50,0.748
8,15,27,5,50,0.909
9,15,27,5,50,1.108
10,15,27,5,50,1.305
11,15,27,5,50,1.508
12,15,27,5,50,1.697
3,16,27,5,50,0.255
4,16,27,5,50,0.304
5,16,27,5,50,0.452
6,16,27,5,50,0.605
7,16,27,5,50,0.773
8,16,27,5,50,0.948
9,16,27,5,50,1.144
10,16,27,5,50,1.346
11,16,27,5,50,1.566
3,17,27,5,50,0.253
4,17,27,5,50,0.317
5,17,27,5,50,0.464
6,17,27,5,50,0.625
7,17,27,5,50,0.799
8,17,27,5,50,0.984
9,17,27,5,50,1.182
10,17,27,5,50,1.393
11,17,27,5,50,1.595
3,18,27,5,50,0.253
4,18,27,5,50,0.33
5,18,27,5,50,0.48
6,18,27,5,50,0.643
7,18,27,5,50,0.823
8,18,27,5,50,1.014
9,18,27,5,50,1.219
10,18,27,5,50,1.437
11,18,27,5,50,1.647
3,19,27,5,50,0.253
4,19,27,5,50,0.336
5,19,27,5,50,0.49
6,19,27,5,50,0.658
7,19,27,5,50,0.846
8,19,27,5,50,1.045
9,19,27,5,50,1.256
10,19,27,5,50,1.479
11,19,27,5,50,1.701
3,20,27,5,50,0.253
4,20,27,5,50,0.347
5,20,27,5,50,0.508
6,20,27,5,50,0.672
7,20,27,5,50,0.855
8,20,27,5,50,1.068
9,20,27,5,50,1.288
10,20,27,5,50,1.518
11,20,27,5,50,1.751
3,14,28,5,50,0.253
4,14,28,5,50,0.27
5,14,28,5,50,0.408
6,14,28,5,50,0.55
7,14,28,5,50,0.7
8,14,28,5,50,0.869
9,14,28,5,50,1.045
10,14,28,5,50,1.229
11,14,28,5,50,1.426
12,14,28,5,50,1.621
3,15,28,5,50,0.253
4,15,28,5,50,0.282
5,15,28,5,50,0.42
6,15,28,5,50,0.57
7,15,28,5,50,0.722
8,15,28,5,50,0.9
9,15,28,5,50,1.083
10,15,28,5,50,1.275
11,15,28,5,50,1.479
12,15,28,5,50,1.69
3,16,28,5,50,0.254
4,16,28,5,50,0.294
5,16,28,5,50,0.44
6,16,28,5,50,0.59
7,16,28,5,50,0.755
8,16,28,5,50,0.926
9,16,28,5,50,1.122
10,16,28,5,50,1.319
11,16,28,5,50,1.518
12,16,28,5,50,1.741
3,17,28,5,50,0.252
4,17,28,5,50,0.307
5,17,28,5,50,0.451
6,17,28,5,50,0.605
7,17,28,5,50,0.778
8,17,28,5,50,0.957
9,17,28,5,50,1.155
10,17,28,5,50,1.362
11,17,28,5,50,1.567
3,18,28,5,50,0.253
4,18,28,5,50,0.321
5,18,28,5,50,0.468
6,18,28,5,50,0.629
7,18,28,5,50,0.795
8,18,28,5,50,0.993
9,18,28,5,50,1.192
10,18,28,5,50,1.397
11,18,28,5,50,1.619
3,19,28,5,50,0.253
4,19,28,5,50,0.334
5,19,28,5,50,0.482
6,19,28,5,50,0.648
7,19,28,5,50,0.817
8,19,28,5,50,1.019
9,19,28,5,50,1.224
10,19,28,5,50,1.43
11,19,28,5,50,1.667
3,20,28,5,50,0.253
4,20,28,5,50,0.335
5,20,28,5,50,0.493
6,20,28,5,50,0.662
7,20,28,5,50,0.849
8,20,28,5,50,1.049
9,20,28,5,50,1.263
10,20,28,5,50,1.483
11,20,28,5,50,1.733
3,14,29,5,50,0.253
4,14,29,5,50,0.266
5,14,29,5,50,0.394
6,14,29,5,50,0.536
7,14,29,5,50,0.684
8,14,29,5,50,0.848
9,14,29,5,50,1.02
10,14,29,5,50,1.193
11,14,29,5,50,1.392
12,14,29,5,50,1.593
3,15,29,5,50,0.253
4,15,29,5,50,0.274
5,15,29,5,50,0.415
6,15,29,5,50,0.559
7,15,29,5,50,0.714
8,15,29,5,50,0.872
9,15,29,5,50,1.06
10,15,29,5,50,1.247
11,15,29,5,50,1.428
12,15,29,5,50,1.63
3,16,29,5,50,0.253
4,16,29,5,50,0.285
5,16,29,5,50,0.424
6,16,29,5,50,0.578
7,16,29,5,50,0.733
8,16,29,5,50,0.891
9,16,29,5,50,1.091
10,16,29,5,50,1.287
11,16,29,5,50,1.48
12,16,29,5,50,1.696
3,17,29,5,50,0.253
4,17,29,5,50,0.297
